,country,coup_num,p_month,p_year,p_year_smooth,p_month_smooth
0,Afghanistan,4,0.6666666666666667,8.0,8,0.652
1,Albania,1,0.16666666666666669,2.0,2,0.202
2,Algeria,5,0.8333333333333334,10.0,10,0.802
3,Argentina,1,0.16666666666666669,2.0,2,0.202
4,Armenia,1,0.16666666666666669,2.0,2,0.202
5,Azerbaijan,5,0.8333333333333334,10.0,10,0.802
6,Bahrain,1,0.16666666666666669,2.0,2,0.202
7,Bangladesh,3,0.5,6.0,6,0.502
8,Burkina Faso,3,0.5,6.0,6,0.502
9,Burundi,9,1.5,18.0,17,1.402
10,Cambodia,3,0.5,6.0,6,0.502
11,Central African Republic,3,0.5,6.0,6,0.502
12,Chad,7,1.1666666666666667,14.000000000000002,13,1.102
13,Comoros,5,0.8333333333333334,10.0,10,0.802
14,Democratic Republic of the Congo,7,1.1666666666666667,14.000000000000002,13,1.102
15,Djibouti,1,0.16666666666666669,2.0,2,0.202
16,East Timor,1,0.16666666666666669,2.0,2,0.202
17,Ecuador,2,0.33333333333333337,4.0,4,0.352
18,Egypt,2,0.33333333333333337,4.0,4,0.352
19,Equatorial Guinea,1,0.16666666666666669,2.0,2,0.202
20,Eritrea,1,0.16666666666666669,2.0,2,0.202
21,Ethiopia,3,0.5,6.0,6,0.502
22,Fiji,3,0.5,6.0,6,0.502
23,Gabon,1,0.16666666666666669,2.0,2,0.202
24,Gambia,4,0.6666666666666667,8.0,8,0.652
25,Georgia,4,0.6666666666666667,8.0,8,0.652
26,Guatemala,1,0.16666666666666669,2.0,2,0.202
27,Guinea,4,0.6666666666666667,8.0,8,0.652
28,Guinea-Bissau,11,1.8333333333333333,22.0,20,1.702
29,Haiti,6,1.0,12.0,11,0.952
30,Honduras,1,0.16666666666666669,2.0,2,0.202
31,Indonesia,2,0.33333333333333337,4.0,4,0.352
32,Iraq,3,0.5,6.0,6,0.502
33,Italy,1,0.16666666666666669,2.0,2,0.202
34,Ivory Coast,7,1.1666666666666667,14.000000000000002,13,1.102
35,Kyrgyzstan,2,0.33333333333333337,4.0,4,0.352
36,Laos,1,0.16666666666666669,2.0,2,0.202
37,Lesotho,7,1.1666666666666667,14.000000000000002,13,1.102
38,Liberia,5,0.8333333333333334,10.0,10,0.802
39,Libya,3,0.5,6.0,6,0.502
40,Madagascar,4,0.6666666666666667,8.0,8,0.652
41,Malawi,1,0.16666666666666669,2.0,2,0.202
42,Maldives,1,0.16666666666666669,2.0,2,0.202
43,Mali,6,1.0,12.0,11,0.952
44,Mauritania,5,0.8333333333333334,10.0,10,0.802
45,Mongolia,1,0.16666666666666669,2.0,2,0.202
46,Montenegro,1,0.16666666666666669,2.0,2,0.202
47,Mozambique,1,0.16666666666666669,2.0,2,0.202
48,Myanmar,2,0.33333333333333337,4.0,4,0.352
49,Nepal,2,0.33333333333333337,4.0,4,0.352
50,Niger,5,0.8333333333333334,10.0,10,0.802
51,Nigeria,7,1.1666666666666667,14.000000000000002,13,1.102
52,Oman,1,0.16666666666666669,2.0,2,0.202
53,Pakistan,1,0.16666666666666669,2.0,2,0.202
54,Panama,4,0.6666666666666667,8.0,8,0.652
55,Papua New Guinea,2,0.33333333333333337,4.0,4,0.352
56,Paraguay,2,0.33333333333333337,4.0,4,0.352
57,Peru,2,0.33333333333333337,4.0,4,0.352
58,Philippines,6,1.0,12.0,11,0.952
59,Qatar,2,0.33333333333333337,4.0,4,0.352
60,Republic of Korea,1,0.16666666666666669,2.0,2,0.202
61,Rumania,1,0.16666666666666669,2.0,2,0.202
62,Russia,2,0.33333333333333337,4.0,4,0.352
63,Rwanda,1,0.16666666666666669,2.0,2,0.202
64,Sao Tome and Principe,2,0.33333333333333337,4.0,4,0.352
65,Serbia,1,0.16666666666666669,2.0,2,0.202
66,Sierra Leone,8,1.3333333333333335,16.0,15,1.252
67,Somalia,1,0.16666666666666669,2.0,2,0.202
68,South Sudan,1,0.16666666666666669,2.0,2,0.202
69,Sudan,9,1.5,18.0,17,1.402
70,Surinam,1,0.16666666666666669,2.0,2,0.202
71,Tajikistan,5,0.8333333333333334,10.0,10,0.802
72,Thailand,3,0.5,6.0,6,0.502
73,Togo,6,1.0,12.0,11,0.952
74,Trinidad and Tobago,1,0.16666666666666669,2.0,2,0.202
75,Tunisia,2,0.33333333333333337,4.0,4,0.352
76,Turkey,3,0.5,6.0,6,0.502
77,Turkmenistan,1,0.16666666666666669,2.0,2,0.202
78,Ukraine,1,0.16666666666666669,2.0,2,0.202
79,Venezuela,7,1.1666666666666667,14.000000000000002,13,1.102
80,Yemen,2,0.33333333333333337,4.0,4,0.352
81,Zambia,2,0.33333333333333337,4.0,4,0.352
82,Zimbabwe,5,0.8333333333333334,10.0,10,0.802
