country_name,region,population
Afghanistan,Asia,38041.754
Albania,Europe,2880.917
Algeria,Africa,43053.054
Andorra,Europe,77.142
Angola,Africa,31825.295
Anguilla,North America,14.869
Antigua and Barbuda,North America,97.118
Argentina,South America,44780.677
Armenia,Asia,2957.731
Australia,Australia,25203.198
Austria,Europe,8955.102
Azerbaijan,Asia,10047.718
Bahamas,North America,389.482
Bahrain,Asia,1641.172
Bangladesh,Asia,163046.161
Barbados,North Africa,287.025
Belarus,Europe,9452.411
Belgium,Europe,11539.328
Belize,North America,390.353
Benin,Africa,11801.151
Bhutan,Asia,763.092
Bolivia,South America,11513.1
Bosnia and Herzegovina,Europe,3301.0
Botswana,Africa,2303.697
Brazil,South America,211049.527
Brunei,Asia,433.285
Bulgaria,Europe,7000.119
Burkina Faso,Africa,20321.378
Burundi,Africa,11530.58
Cambodia,Asia,16486.542
Cameroon,Africa,25876.38
Canada,North America,37411.047
Cape Verde,Africa,549.935
Central African Republic,Africa,4745.185
Chad,Africa,15946.876
Chile,South America,18952.038
China,Asia,1433783.686
Colombia,South America,50339.443
Comoros,Africa,850.886
Congo,Africa,89561.403
Costa Rica,North America,5047.561
Croatia,Europe,4130.304
Cuba,North America,11333.483
Cyprus,Asia,1198.575
Czech Republic,Europe,10689.209
Denmark,Europe,5771.876
Djibouti,Africa,973.56
Dominica,North America,71.808
Dominican Republic,Asia,10738.958
East Timor,South America,1383.723
Ecuador,Africa,17373.662
Egypt,North America,100388.073
El Salvador,Africa,6453.553
Equatorial Guinea,Africa,1355.986
Eritrea,Europe,3497.117
Estonia,Africa,1325.648
Eswatini,Africa,1160.164
Ethiopia,Oceania,112078.73
Fiji,Europe,889.953
Finland,Europe,5532.156
France,Africa,65129.728
Gabon,Africa,2172.579
Gambia,Europe,2347.706
Georgia,Europe,3996.765
Germany,Africa,83517.045
Ghana,Europe,30417.856
Greece,North America,10473.455
Grenada,North America,112.003
Guatemala,Africa,17581.472
Guinea,Africa,12771.246
Guinea-Bissau,South America,1920.922
Guyana,North America,782.766
Haiti,North America,11263.077
Honduras,Europe,9746.117
Hungary,Europe,9684.679
Iceland,Asia,339.031
India,Asia,1366417.754
Indonesia,Asia,270625.568
Iran,Asia,82913.906
Iraq,Europe,39309.783
Ireland,Europe,4882.495
Israel,Asia,8519.377
Italy,Europe,60550.075
Ivory Coast,Africa,25716.544
Jamaica,North America,2948.279
Japan,Asia,126860.301
Jordan,Asia,10101.694
Kenya,Africa,52573.973
Kiribati,Oceania,117.606
Kuwait,Asia,4207.083
Kyrgyzstan,Asia,6415.85
Laos,Asia,7169.455
Latvia,Europe,1906.743
Lebanon,Asia,6855.713
Lesotho,Africa,2125.268
Liberia,Africa,4937.374
Libya,Africa,6777.452
Liechtenstein,Europe,38.019
Luxembourg,Europe,615.729
Madagascar,Africa,26969.307
Malawi,Africa,18628.747
Malaysia,Asia,31949.777
Maldives,Asia,530.953
Mali,Africa,19658.031
Malta,Europe,440.372
Marshall Islands,Oceania,58.791
Mauritania,Africa,4525.696
Mauritius,Africa,1269.668
Mexico,North America,127575.529
Micronesia,Oceania,113.815
Moldova,Europe,4043.263
Monaco,Europe,38.964
Mongolia,Asia,3225.167
Montenegro,Europe,627.987
Morocco,Africa,36471.769
Mozambique,Africa,30366.036
Myanmar,Asia,54045.42
Namibia,Africa,2494.53
Nauru,Oceania,10.756
Nepal,Asia,28608.71
Netherlands,Europe,17097.13
New Zealand,Oceania,4783.063
Nicaragua,North America,6545.502
Niger,Africa,23310.715
Nigeria,Africa,200963.599
North Korea,Asia,25666.161
North Macedonia,Europe,2083.374
Norway,Europe,5378.857
Oman,Asia,4974.986
Pakistan,Asia,216565.318
Palau,Oceania,18.008
Palestine,Asia,4981.42
Panama,North America,4246.439
Papua New Guinea,Oceania,8776.109
Paraguay,South America,7044.636
Peru,South America,32510.453
Philippines,Asia,108116.615
Poland,Europe,37887.768
Portugal,Europe,10226.187
Qatar,Asia,2832.067
Romania,Europe,19364.557
Russia,Asia,145872.256
Rwanda,Africa,12626.95
Saint Kitts and Nevis,North America,52.823
Saint Lucia,North America,182.79
Saint Vincent and the Grenadines,North America,110.589
Samoa,Oceania,197.097
San Marino,Europe,33.86
Sao Tome and Principe,Africa,215.056
Saudi Arabia,Asia,34268.528
Senegal,Africa,16296.364
Serbia,Europe,8772.235
Seychelles,Africa,97.739
Sierra Leone,Africa,7813.215
Singapore,Asia,5804.337
Slovakia,Europe,5457.013
Slovenia,Europe,2078.654
Somalia,Africa,15442.905
South Africa,Africa,58558.27
South Georgia and the South Sandwich Islands,South America,30.0
Republic of Korea,Asia,51225.308
South Sudan,Africa,11062.113
Spain,Europe,46736.776
SriLanka,Asia,21323.733
Sudan,Africa,42813.238
Suriname,South America,581.372
Sweden,Europe,10036.379
Switzerland,Europe,8591.365
Syria,Asia,17070.135
Tajikistan,Asia,9321.018
Tanzania,Africa,58005.463
Thailand,Asia,69625.582
Togo,Africa,8082.366
Tonga,Oceania,104.494
Trinidad and Tobago,North America,1394.973
Tunisia,Africa,11694.719
Turkey,Asia,83429.615
Turkmenistan,Asia,5942.089
Tuvalu,Oceania,11.646
Uganda,Africa,44269.594
Ukraine,Europe,43993.638
United Arab Emirates,Asia,9770.529
United Kingdom,Europe,67530.172
United States,North America,329064.917
Uruguay,South America,3461.734
Uzbekistan,Asia,32981.716
Vanuatu,Oceania,299.882
Vatican City,Europe,0.799
Venezuela,South America,28515.829
Vietnam,Asia,96462.106
Yemen,Asia,29161.922
Zambia,Africa,17861.03
Zimbabwe,Africa,14645.468
